Time,Temp,Hum,Baro,Acc(x),Acc(y),Acc(z),LinAcc(x),LinAcc(y),LinAcc(z),Mag(x),Mag(y),Mag(z),Degrees,Turn,Gyro(x),Gyro(y),Gyro(z),Light,Lat,Long,Stop
1473908011146,-9999,-9999,1005.25,-0.05746084,8.810662,4.8841715,0.25365865,0.2904501,0.038597584,-12.5,62.75,-1.0,19.042969,-9999,0.010995574,0.087964594,0.05497787,0.0,-9999,-9999,-9999
1473908011248,-9999,-9999,1005.43,-0.63206923,8.504205,4.7309427,-0.29047227,-0.01974392,-0.10599756,-13.0,62.625,-1.0,19.75885,-9999,-0.013439035,0.10262536,0.037873644,0.0,-9999,-9999,-9999
1473908011355,-9999,-9999,1005.27997,-0.36391866,8.887277,4.673482,-0.009447277,0.35145378,-0.14154291,-13.25,62.5625,-1.5625,20.449585,-9999,0.019547688,0.087964594,0.07819075,0.0,-9999,-9999,-9999
1473908011463,-9999,-9999,1005.37,-0.15322891,9.002198,4.596867,0.18102863,0.44449043,-0.18061304,-13.125,62.5625,-2.125,21.044525,-9999,-0.010995574,0.13194689,0.035430185,0.0,-9999,-9999,-9999
1473908011568,-9999,-9999,1005.25,-0.6512229,8.504205,4.5777135,-0.31676322,-0.061405182,-0.18556881,-13.625,62.375,-2.125,21.604584,-9999,-0.009773844,0.09040806,0.09896017,0.0,-9999,-9999,-9999
1473908011678,-9999,-9999,1005.31,-0.24899697,8.848969,4.7884035,-0.025248349,0.06508446,-0.2507944,-14.0,62.625,-1.9375,22.032043,-9999,-0.007330383,0.087964594,0.0842994,0.0,-9999,-9999,-9999
1473908011782,-9999,-9999,1005.33997,0.0,9.11712,4.8458643,0.25743705,0.5343962,0.10867548,-14.25,62.625,-1.6875,22.439758,-9999,0.0061086523,0.112399206,0.052534413,0.0,-9999,-9999,-9999
1473908011895,-9999,-9999,1005.31,0.15322891,8.714894,5.2289367,0.24617848,0.26454067,-0.024747372,-14.375,62.5,-1.875,22.551147,-9999,0.02076942,0.080634214,0.073303826,0.0,-9999,-9999,-9999
1473908011996,-9999,-9999,1005.25,-0.2873042,8.542512,4.673482,-0.07877602,-0.04689789,-0.053986073,-14.75,62.3125,-2.6875,22.870697,-9999,0.017104227,0.12950343,0.029321533,0.0,-9999,-9999,-9999
1473908012107,-9999,-9999,1005.22,-0.78529817,8.350976,4.462792,-0.6101997,-0.11584473,-0.010725975,-14.75,62.125,-2.625,23.46164,-9999,-0.018325957,0.18325958,0.02565634,0.0,-9999,-9999,-9999
1473908012210,-9999,-9999,1005.37,-0.2873042,8.90643,4.807557,0.006014079,0.33076954,-0.08115959,-15.25,62.125,-2.375,24.171936,-9999,0.030543262,0.05131268,0.1001819,0.0,-9999,-9999,-9999
1473908012311,-9999,-9999,1005.37,-0.2873042,8.542512,4.6351743,-0.02129376,-0.07921219,-0.030175686,-15.75,62.3125,-1.9375,24.511017,-9999,0.009773844,0.04520403,0.11728613,0.0,-9999,-9999,-9999
1473908012417,-9999,-9999,1005.33997,-0.32561144,8.619126,4.8458643,-0.13187957,-0.18640232,0.35696983,-16.0,62.3125,-2.0625,24.680878,-9999,-0.021991149,0.12705997,0.06719518,0.0,-9999,-9999,-9999
1473908012519,-9999,-9999,1005.43,-0.30645782,8.714894,4.9224787,0.013057619,0.13009834,0.12740803,-15.6875,62.8125,-2.75,24.818237,-9999,-0.021991149,0.10751228,0.07574729,0.0,-9999,-9999,-9999
1473908012622,-9999,-9999,1005.31,0.1340753,8.963891,4.8458643,0.33285898,0.22501087,0.16520882,-15.875,62.8125,-3.375,24.909729,-9999,-0.0012217305,0.096516706,0.059864793,0.0,-9999,-9999,-9999
1473908012725,-9999,-9999,1005.31,-0.19153613,8.580819,4.999093,-0.0012737811,-0.023674011,0.29835987,-16.25,62.6875,-3.3125,25.0336,-9999,-0.007330383,0.13683382,0.021991149,0.0,-9999,-9999,-9999
1473908012829,-9999,-9999,1005.27997,-0.22984336,8.42759,4.76925,-0.010456473,-0.17637539,0.06882048,-16.6875,63.0,-3.5,25.343597,-9999,0.02076942,0.12950343,0.056199603,0.0,-9999,-9999,-9999
