Time,Temp,Hum,Baro,Acc(x),Acc(y),Acc(z),LinAcc(x),LinAcc(y),LinAcc(z),Mag(x),Mag(y),Mag(z),Degrees,Gyro(x),Gyro(y),Gyro(z),Light,Lat,Long,Stop
1473354622657,-9999,-9999,998.48,-0.21068975,9.097966,4.4244847,-0.64698935,0.29567432,0.47960663,-26.3125,73.0625,-13.75,32.335175,0.043982297,0.24312437,0.019547688,1271.0,-9999,-9999,-9999
1473354622774,-9999,-9999,998.42,-0.4405331,9.040505,4.309563,-0.9009476,0.19171524,0.41420937,-26.0,73.1875,-14.625,31.986267,0.06841691,0.24312437,0.013439035,1271.0,-9999,-9999,-9999
1473354622890,-9999,-9999,998.48,-0.22984336,8.983045,4.309563,-0.53784215,0.33836365,0.061318636,-25.6875,72.9375,-14.625,31.960602,0.002443461,0.07696902,0.11728613,1397.0,-9999,-9999,-9999
1473354623008,-9999,-9999,998.38995,0.038307227,9.289502,4.003105,-0.17924657,0.3341732,0.012473345,-26.0,72.75,-14.9375,32.23831,0.030543262,0.12583824,0.10629055,1397.0,-9999,-9999,-9999
1473354623122,-9999,-9999,998.38995,-0.40222588,9.385271,4.1946416,-0.37838954,0.3828802,0.45294333,-25.9375,72.8125,-15.125,32.406616,-0.0036651916,0.06719518,0.13072516,1397.0,-9999,-9999,-9999
1473354623242,-9999,-9999,998.44995,-0.45968673,9.442732,4.462792,-0.69655615,0.50445557,-0.07767272,-25.625,72.25,-15.375,32.605164,0.103847094,0.41783184,-0.07819075,1495.0,-9999,-9999,-9999
1473354623362,-9999,-9999,998.38995,-0.40222588,9.232041,4.596867,-0.45288098,0.023385048,0.9179511,-25.5625,72.875,-15.375,32.152954,0.017104227,0.17104226,0.06841691,1495.0,-9999,-9999,-9999
1473354623474,-9999,-9999,998.48,-0.2681506,8.561666,3.9456444,-0.31421998,-0.40573788,-0.02347827,-26.8125,73.4375,-14.9375,32.436768,0.029321533,0.07941248,0.14660765,1593.0,-9999,-9999,-9999
1473354623590,-9999,-9999,998.38995,-0.59376204,9.346964,4.156334,-0.27519304,0.60339737,0.3929615,-26.375,74.0625,-15.375,31.873383,0.07819075,0.23823744,0.035430185,1593.0,-9999,-9999,-9999
1473354623705,-9999,-9999,998.38995,-0.7278373,8.963891,3.7349546,-0.7929693,-0.03268528,-0.09626436,-26.0625,73.875,-15.8125,32.41339,0.057421334,0.3042109,0.014660766,1593.0,-9999,-9999,-9999
1473354623820,-9999,-9999,998.42,-0.17238252,9.002198,4.55856,-0.21711715,0.04750538,0.5608294,-26.75,74.25,-15.875,32.093018,-0.028099801,0.08552113,0.14660765,1593.0,-9999,-9999,-9999
1473354623939,-9999,-9999,998.32996,0.038307227,9.155427,4.8267107,-0.16813657,0.26411533,0.1644144,-26.8125,75.0,-16.8125,31.625946,0.04642576,0.26389378,0.034208454,1691.0,-9999,-9999,-9999
1473354624058,-9999,-9999,998.42,-0.59376204,9.461885,3.9839516,-0.3161631,0.25606155,0.25480795,-27.4375,75.75,-17.1875,30.8237,0.04886922,0.17837265,0.064751714,1691.0,-9999,-9999,-9999
1473354624172,-9999,-9999,998.38995,-0.7661445,9.385271,4.0414124,-0.91797364,0.2610836,-0.03959751,-27.5,75.8125,-17.875,31.666992,0.10751228,0.2883284,0.04886922,1691.0,-9999,-9999,-9999
1473354624290,-9999,-9999,998.42,0.19153613,9.212888,4.367024,0.17822862,0.26704502,0.34929657,-27.9375,76.25,-18.375,30.997559,0.030543262,0.21380283,0.062308256,1691.0,-9999,-9999,-9999
1473354624409,-9999,-9999,998.42,-0.49799395,9.078813,4.3861775,-0.31296062,0.008169174,0.30966187,-27.6875,76.25,-18.75,30.30072,0.02443461,0.2724459,-0.007330383,1691.0,-9999,-9999,-9999
1473354624526,-9999,-9999,998.42,-0.842759,8.944737,4.1180267,-0.7666509,0.03185177,0.07256651,-27.3125,76.125,-19.375,31.098053,0.07941248,0.31887165,-0.015882496,1775.0,-9999,-9999,-9999
1473354624639,-9999,-9999,998.48,-0.32561144,9.270349,4.1371803,-0.15119705,0.3416443,0.08524275,-27.5,76.5,-20.125,31.130157,0.010995574,0.15882497,0.09407325,1775.0,-9999,-9999,-9999
1473354624755,-9999,-9999,998.44995,-0.4405331,9.174581,4.1371803,-0.22517428,0.059638977,0.3235774,-27.5625,76.6875,-20.625,30.299927,0.043982297,0.20647246,0.04520403,1775.0,-9999,-9999,-9999
