Time,Temp,Hum,Baro,Acc(x),Acc(y),Acc(z),Mag(x),Mag(y),Mag(z),Gyro(x),Gyro(y),Gyro(z),Light,Lat,Long,Stop
12:24:25.525,-9999,-9999,1002.07,-1.340753,2.27928,8.456321,1.4375,49.1875,15.625,0.2846632,0.22357668,0.12950343,710.0,-9999,-9999,-9999
12:24:25.655,-9999,-9999,1002.07,-2.2984335,0.11492168,10.084377,1.4375,49.125,14.9375,-0.042760566,-0.4728097,0.21624629,710.0,-9999,-9999,-9999
12:24:25.778,-9999,-9999,1002.17,-2.0111294,1.6089035,8.820239,1.9375,49.8125,16.8125,0.344528,0.0061086523,0.15515977,570.0,-9999,-9999,-9999
12:24:25.905,-9999,-9999,1002.17,-1.6280571,0.038307227,10.486604,3.125,50.0625,16.1875,-0.6218608,0.7305948,-0.32498032,570.0,-9999,-9999,-9999
12:24:26.028,-9999,-9999,1002.1,-2.3942018,0.78529817,8.322245,2.0,49.75,14.875,0.3371976,0.2003638,0.20525073,879.0,-9999,-9999,-9999
12:24:26.155,-9999,-9999,1002.1,-2.815581,0.17238252,10.160992,2.9375,49.1875,14.5,0.032986723,-0.9309586,0.06352998,879.0,-9999,-9999,-9999
12:24:26.281,-9999,-9999,1002.04,-2.1260512,1.1683705,9.490616,2.25,49.75,16.0625,0.3921755,1.0714576,-0.02687807,879.0,-9999,-9999,-9999
12:24:26.403,-9999,-9999,1002.1,-2.4133554,0.36391866,10.333375,1.6875,48.75,14.125,-0.25534168,-0.27366763,-0.032986723,1230.0,-9999,-9999,-9999
12:24:26.525,-9999,-9999,1002.1,-1.9728222,1.091756,9.662998,0.875,49.4375,14.0,0.21868975,0.1563815,-0.0012217305,1230.0,-9999,-9999,-9999
12:24:26.641,-9999,-9999,1002.07,-2.2026656,0.34476504,9.107543,0.75,48.0625,14.1875,0.032986723,-0.3359759,0.17348573,1230.0,-9999,-9999,-9999
12:24:26.770,-9999,-9999,1002.13995,-2.5474305,1.1683705,9.394848,1.0,49.1875,13.875,-0.0012217305,-0.39950588,0.25778514,1230.0,-9999,-9999,-9999
12:24:26.889,-9999,-9999,1002.17,-1.8387469,0.842759,9.050082,1.9375,48.75,14.6875,0.09162979,0.19914207,-0.12095132,977.0,-9999,-9999,-9999
12:24:27.008,-9999,-9999,1002.23,-2.0494366,0.82360536,9.739613,2.5,48.75,13.5625,-0.03176499,0.22479841,0.04520403,977.0,-9999,-9999,-9999
12:24:27.134,-9999,-9999,1002.1,-2.0111294,0.2873042,8.494628,2.25,48.6875,13.75,0.22113322,-0.74036866,0.18325958,1061.0,-9999,-9999,-9999
12:24:27.255,-9999,-9999,1002.04,-1.6663644,0.7469909,9.126697,2.25,47.9375,15.375,0.021991149,0.23701571,0.07452556,1061.0,-9999,-9999,-9999
12:24:27.385,-9999,-9999,1002.17,-2.1643584,0.8619126,10.448297,2.25,47.0625,14.9375,-0.11728613,-0.14538592,-0.0012217305,780.0,-9999,-9999,-9999
12:24:27.504,-9999,-9999,1002.04,-2.0111294,0.17238252,10.103531,2.0625,47.5625,15.6875,-0.09773844,0.10140363,-0.064751714,780.0,-9999,-9999,-9999
12:24:27.632,-9999,-9999,1002.13995,-1.7621324,0.9768343,9.605537,2.625,47.9375,15.25,0.095294975,-0.57787853,0.06719518,780.0,-9999,-9999,-9999
